,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Spatial neighborhood MI
102,Q0.010,4.1579381929700405,rep0,0.001,50,VAE,0.04774868543681204
103,Q0.010,4.1579381929700405,rep0,0.001,50,PCA,0.03756206117613162
104,Q0.010,4.1579381929700405,rep0,0.001,50,RandomProjection,0.03951411605736701
105,Q0.010,4.1579381929700405,rep0,0.001,50,nanoTxformer,0.03209207966932823
106,Q0.010,4.1579381929700405,rep0,0.002,101,VAE,0.04780984415232515
107,Q0.010,4.1579381929700405,rep0,0.002,101,PCA,0.0975529590090601
108,Q0.010,4.1579381929700405,rep0,0.002,101,RandomProjection,0.01799229282592179
109,Q0.010,4.1579381929700405,rep0,0.005,254,VAE,0.05530209352024345
110,Q0.010,4.1579381929700405,rep0,0.005,254,PCA,0.03922630713666914
111,Q0.010,4.1579381929700405,rep0,0.005,254,RandomProjection,0.01602470164653328
112,Q0.010,4.1579381929700405,rep0,0.01,508,VAE,0.07178022628675776
113,Q0.010,4.1579381929700405,rep0,0.01,508,PCA,0.08885306978226787
114,Q0.010,4.1579381929700405,rep0,0.01,508,RandomProjection,0.03178262932457478
115,Q0.010,4.1579381929700405,rep0,0.01,508,nanoTxformer,0.04280594185531796
116,Q0.010,4.1579381929700405,rep0,0.022,1119,VAE,0.07964132932838049
117,Q0.010,4.1579381929700405,rep0,0.022,1119,PCA,0.08480050882826741
118,Q0.010,4.1579381929700405,rep0,0.022,1119,RandomProjection,0.035668261492665866
119,Q0.010,4.1579381929700405,rep0,0.046,2339,VAE,0.058683182747392336
120,Q0.010,4.1579381929700405,rep0,0.046,2339,PCA,0.0700434004729209
121,Q0.010,4.1579381929700405,rep0,0.046,2339,RandomProjection,0.017282591252469278
122,Q0.010,4.1579381929700405,rep0,0.1,5086,VAE,0.07409653095104995
123,Q0.010,4.1579381929700405,rep0,0.1,5086,PCA,0.07595362296082421
124,Q0.010,4.1579381929700405,rep0,0.1,5086,RandomProjection,0.03868597173497955
125,Q0.010,4.1579381929700405,rep0,0.1,5086,nanoTxformer,0.0286458907584002
126,Q0.010,4.1579381929700405,rep0,0.215,10936,VAE,0.07159633370201554
