,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Protein MI,Cell type coarse MI,Cell type fine MI
96,Q0.005,37.813854407742475,rep0,0.464,52929,PCA,0.854164982426836,0.6228557828483737,1.0111694603545174
97,Q0.005,37.813854407742475,rep0,0.464,52929,RandomProjection,0.8084132403829614,0.8001910442187579,0.870457573494221
98,Q0.005,37.813854407742475,rep0,1.0,114072,VAE,1.28329033905469,1.0206119713433088,1.1631895954704623
99,Q0.005,37.813854407742475,rep0,1.0,114072,PCA,0.8592584092906241,0.6499404091578148,0.9505064845398558
100,Q0.005,37.813854407742475,rep0,1.0,114072,RandomProjection,0.8387570245859787,0.8944591653165163,0.9189110330826386
101,Q0.005,37.813854407742475,rep0,1.0,114072,nanoTxformer,1.0672873737267208,1.0258668089096274,1.0526959339513369
102,Q0.010,81.57287502629917,rep0,0.001,114,VAE,1.455996122228361,1.2468241678733165,1.3310150589798575
103,Q0.010,81.57287502629917,rep0,0.001,114,PCA,1.4754586969060075,1.1799384051459698,1.2992253837177887
104,Q0.010,81.57287502629917,rep0,0.001,114,RandomProjection,1.0743108323056414,1.0717309070942749,1.102999295905343
105,Q0.010,81.57287502629917,rep0,0.001,114,nanoTxformer,1.520064248005567,1.3744875382089794,1.5207631415929561
106,Q0.010,81.57287502629917,rep0,0.002,228,VAE,1.518257555232894,1.234300111658042,1.4910779356777244
107,Q0.010,81.57287502629917,rep0,0.002,228,PCA,1.3580127402293427,1.0452040740837139,1.24854878664617
108,Q0.010,81.57287502629917,rep0,0.002,228,RandomProjection,1.1177109537610315,1.0452923473227265,1.0804551197425298
109,Q0.010,81.57287502629917,rep0,0.005,570,VAE,1.6080074089292178,1.3074425114478956,1.465501653247854
110,Q0.010,81.57287502629917,rep0,0.005,570,PCA,1.4967320273907254,1.165484449154836,1.2955822810655544
111,Q0.010,81.57287502629917,rep0,0.005,570,RandomProjection,0.9892293728389068,0.9742319603810502,1.0409517201191505
112,Q0.010,81.57287502629917,rep0,0.01,1140,VAE,1.6571226499651714,1.3342431505116683,1.490483583633324
113,Q0.010,81.57287502629917,rep0,0.01,1140,PCA,1.4587193509088046,1.1561847237318092,1.259263169363109
114,Q0.010,81.57287502629917,rep0,0.01,1140,RandomProjection,1.081908029704513,1.0063356444505371,1.0877830327004445
115,Q0.010,81.57287502629917,rep0,0.01,1140,nanoTxformer,1.517270087237197,1.3661276327355674,1.445433725136487
116,Q0.010,81.57287502629917,rep0,0.022,2509,VAE,1.7295074236235903,1.3612734326908815,1.6379925300076834
117,Q0.010,81.57287502629917,rep0,0.022,2509,PCA,1.46870384770265,0.918784099084878,1.2639122993502034
118,Q0.010,81.57287502629917,rep0,0.022,2509,RandomProjection,1.1194599809894732,1.029995823233761,1.1251815442676825
119,Q0.010,81.57287502629917,rep0,0.046,5247,VAE,1.7896746944662656,1.328624548789601,1.6634945402711552
120,Q0.010,81.57287502629917,rep0,0.046,5247,PCA,1.5169902883816357,1.0225644998883185,1.3419461145470524
121,Q0.010,81.57287502629917,rep0,0.046,5247,RandomProjection,1.2446475609204326,1.1654674208400992,1.2527477610107116
122,Q0.010,81.57287502629917,rep0,0.1,11407,VAE,1.8141996782691998,1.4204972575941746,1.6000871828248986
123,Q0.010,81.57287502629917,rep0,0.1,11407,PCA,1.5266926534875407,1.0403773423829457,1.4291272645481568
124,Q0.010,81.57287502629917,rep0,0.1,11407,RandomProjection,1.11922948803238,1.0362036195093944,1.113581962091874
125,Q0.010,81.57287502629917,rep0,0.1,11407,nanoTxformer,1.4747197394721465,1.3441593068783477,1.5017272763962188
126,Q0.010,81.57287502629917,rep0,0.215,24525,VAE,1.845320738992601,1.4195231336054301,1.6918993045416186
127,Q0.010,81.57287502629917,rep0,0.215,24525,PCA,1.4743071594879493,1.0871399661567775,1.3754735517947172
128,Q0.010,81.57287502629917,rep0,0.215,24525,RandomProjection,1.0973599500729285,1.019257579325586,1.1076506640174755
129,Q0.010,81.57287502629917,rep0,0.464,52929,VAE,1.7692279714667334,1.4242284917925587,1.6045548984633267
130,Q0.010,81.57287502629917,rep0,0.464,52929,PCA,1.4012374402619003,1.0322748090544052,1.2202606328936854
131,Q0.010,81.57287502629917,rep0,0.464,52929,RandomProjection,1.0381834332261863,1.0103435628196304,1.1129655798229665
132,Q0.010,81.57287502629917,rep0,1.0,114072,VAE,1.773848471224911,1.4388399666033318,1.650189445392496
133,Q0.010,81.57287502629917,rep0,1.0,114072,PCA,1.4701856218322136,1.0616149974876914,1.2406676560748842
134,Q0.010,81.57287502629917,rep0,1.0,114072,RandomProjection,1.0313202907408432,1.0160290502919518,1.0663508146676925
135,Q0.010,81.57287502629917,rep0,1.0,114072,nanoTxformer,1.5717092478443082,1.3896272936744158,1.5062614093185274
136,Q0.022,175.68696086682095,rep0,0.001,114,VAE,2.0076977552027904,1.5376562289488693,1.8239175845782365
137,Q0.022,175.68696086682095,rep0,0.001,114,PCA,1.9561685182350461,1.4021057289689676,1.7734433499647726
138,Q0.022,175.68696086682095,rep0,0.001,114,RandomProjection,1.3002336331634035,1.207674411119453,1.2940677646971077
139,Q0.022,175.68696086682095,rep0,0.001,114,nanoTxformer,1.9203892307878576,1.6210941901701863,1.8861029477431446
140,Q0.022,175.68696086682095,rep0,0.002,228,VAE,2.0345372801822075,1.5404553993640806,1.7891974229499303
141,Q0.022,175.68696086682095,rep0,0.002,228,PCA,2.0104497868691387,1.4056677419907693,1.8187132098543528
142,Q0.022,175.68696086682095,rep0,0.002,228,RandomProjection,1.3628528589663467,1.2186501933078873,1.3349366518468566
143,Q0.022,175.68696086682095,rep0,0.005,570,VAE,2.167653992730868,1.5401142948926636,1.9444642502277967
144,Q0.022,175.68696086682095,rep0,0.005,570,PCA,2.0456927621720657,1.2816105325416802,1.800493202568859
145,Q0.022,175.68696086682095,rep0,0.005,570,RandomProjection,1.4207196961530515,1.2683607301140145,1.3918237486647913
146,Q0.022,175.68696086682095,rep0,0.01,1140,VAE,2.173985720593428,1.6363534619609703,2.0183173742458975
147,Q0.022,175.68696086682095,rep0,0.01,1140,PCA,2.0592732610259152,1.4877929486528325,1.8289398712397287
148,Q0.022,175.68696086682095,rep0,0.01,1140,RandomProjection,1.244092523389661,1.128849807605968,1.2543300880581136
149,Q0.022,175.68696086682095,rep0,0.01,1140,nanoTxformer,1.8915697654014791,1.6123403670189447,1.8516435312694615
150,Q0.022,175.68696086682095,rep0,0.022,2509,VAE,2.2109272160634488,1.616360921076106,2.0123624114866607
151,Q0.022,175.68696086682095,rep0,0.022,2509,PCA,2.0288288132106675,1.3131279713896176,1.7976092844877458
152,Q0.022,175.68696086682095,rep0,0.022,2509,RandomProjection,1.4328338771287152,1.2559072621709277,1.4408098280390513
153,Q0.022,175.68696086682095,rep0,0.046,5247,VAE,2.276902001411653,1.6493745327015568,2.0510238169996
154,Q0.022,175.68696086682095,rep0,0.046,5247,PCA,1.9983208692761285,1.245194832022811,1.8172155366039426
155,Q0.022,175.68696086682095,rep0,0.046,5247,RandomProjection,1.4216445100659363,1.284437781338578,1.4319770710137856
156,Q0.022,175.68696086682095,rep0,0.1,11407,VAE,2.305894569073097,1.6521799542746023,2.089922139665594
157,Q0.022,175.68696086682095,rep0,0.1,11407,PCA,2.038877639667317,1.2330304487377903,1.7844086128148324
158,Q0.022,175.68696086682095,rep0,0.1,11407,RandomProjection,1.4067263107443606,1.19812573582693,1.3521173534224147
159,Q0.022,175.68696086682095,rep0,0.1,11407,nanoTxformer,1.94845552243782,1.614292842021718,1.8907468128209972
160,Q0.022,175.68696086682095,rep0,0.215,24525,VAE,2.3325975322536006,1.6416040699119285,2.088901281842337
161,Q0.022,175.68696086682095,rep0,0.215,24525,PCA,2.0031998861166893,1.29101407272824,1.751052101794321
162,Q0.022,175.68696086682095,rep0,0.215,24525,RandomProjection,1.434854160225272,1.289377124537602,1.3881712953062808
163,Q0.022,175.68696086682095,rep0,0.464,52929,VAE,2.3858456330585165,1.656133942857235,2.0763381484059797
164,Q0.022,175.68696086682095,rep0,0.464,52929,PCA,1.9841784247680867,1.3145311891032967,1.761718939569295
165,Q0.022,175.68696086682095,rep0,0.464,52929,RandomProjection,1.425302994725086,1.2066220713544502,1.394230749709166
166,Q0.022,175.68696086682095,rep0,1.0,114072,VAE,2.2666567691389603,1.696436119870377,2.101758294423022
167,Q0.022,175.68696086682095,rep0,1.0,114072,PCA,2.0057873066998524,1.3510878455432067,1.7559852657236923
168,Q0.022,175.68696086682095,rep0,1.0,114072,RandomProjection,1.402435991129579,1.2485900297966168,1.380717373167188
169,Q0.022,175.68696086682095,rep0,1.0,114072,nanoTxformer,1.963932356947966,1.5993267975727066,1.8440370729073676
170,Q0.046,378.49905322953924,rep0,0.001,114,VAE,2.5095032896935714,1.7141310888177348,2.182840206332742
171,Q0.046,378.49905322953924,rep0,0.001,114,PCA,2.318234075328734,1.5941469861876796,2.0605546373033783
172,Q0.046,378.49905322953924,rep0,0.001,114,RandomProjection,1.7473544822359708,1.4468615269627512,1.7369944620995768
173,Q0.046,378.49905322953924,rep0,0.001,114,nanoTxformer,2.150897620847735,1.7707005589844242,2.1861005855152182
174,Q0.046,378.49905322953924,rep0,0.002,228,VAE,2.5615024428914595,1.7610092607717576,2.2450895015627546
175,Q0.046,378.49905322953924,rep0,0.002,228,PCA,2.424914152219769,1.5564673456052498,2.1446814823209004
176,Q0.046,378.49905322953924,rep0,0.002,228,RandomProjection,1.4491602925135179,1.0565381812407344,1.437834496010177
177,Q0.046,378.49905322953924,rep0,0.005,570,VAE,2.5039919241483477,1.7688979514984475,2.2659644976920505
178,Q0.046,378.49905322953924,rep0,0.005,570,PCA,2.470032758064422,1.6925537967079562,2.1529829374214353
179,Q0.046,378.49905322953924,rep0,0.005,570,RandomProjection,1.6412261023237065,1.3835808058650896,1.6249162697895696
180,Q0.046,378.49905322953924,rep0,0.01,1140,VAE,2.5629189953579825,1.792350200159259,2.304825225775824
181,Q0.046,378.49905322953924,rep0,0.01,1140,PCA,2.4647095361145683,1.6622125522264084,2.1383302251197494
182,Q0.046,378.49905322953924,rep0,0.01,1140,RandomProjection,1.6030487809710299,1.3829981536066271,1.568906517667167
183,Q0.046,378.49905322953924,rep0,0.01,1140,nanoTxformer,2.193115463047854,1.7569829988240175,2.1203108305580773
184,Q0.046,378.49905322953924,rep0,0.022,2509,VAE,2.6476324171910592,1.8050309208090853,2.3443335145528787
185,Q0.046,378.49905322953924,rep0,0.022,2509,PCA,2.485484165360951,1.6582078673174843,2.153609587032605
186,Q0.046,378.49905322953924,rep0,0.022,2509,RandomProjection,1.6953217917592518,1.4214026990929274,1.6883636883057662
187,Q0.046,378.49905322953924,rep0,0.046,5247,VAE,2.719215763260459,1.8209419174865165,2.40394077704041
188,Q0.046,378.49905322953924,rep0,0.046,5247,PCA,2.5118007478186173,1.5767606996136578,2.1426585646723892
189,Q0.046,378.49905322953924,rep0,0.046,5247,RandomProjection,1.6997801789751548,1.428072170399934,1.6916744031749684
190,Q0.046,378.49905322953924,rep0,0.1,11407,VAE,2.7842247322740388,1.8336399125224945,2.4019132891522212
191,Q0.046,378.49905322953924,rep0,0.1,11407,PCA,2.509991991659158,1.6918424493137951,2.0912992587850128
192,Q0.046,378.49905322953924,rep0,0.1,11407,RandomProjection,1.5727214034002517,1.3265804520058793,1.589801391437123
193,Q0.046,378.49905322953924,rep0,0.1,11407,nanoTxformer,2.1741533646901794,1.7607460230353915,2.1372262514574127
194,Q0.046,378.49905322953924,rep0,0.215,24525,VAE,2.797616890476096,1.791862646798703,2.4792366313082597
195,Q0.046,378.49905322953924,rep0,0.215,24525,PCA,2.4795104227120657,1.6747840320102974,2.1268664971748423
196,Q0.046,378.49905322953924,rep0,0.215,24525,RandomProjection,1.6720475734866682,1.4371133334983857,1.6589455694756927
197,Q0.046,378.49905322953924,rep0,0.464,52929,VAE,2.8340851164099976,1.8539760380745185,2.4612347063507882
198,Q0.046,378.49905322953924,rep0,0.464,52929,PCA,2.489928279847044,1.70313406547472,2.1078496562264477
199,Q0.046,378.49905322953924,rep0,0.464,52929,RandomProjection,1.7373870123477448,1.4000324543423488,1.6733606704351656
200,Q0.046,378.49905322953924,rep0,1.0,114072,VAE,2.7910538887070033,1.8473233570826728,2.4682266692743577
201,Q0.046,378.49905322953924,rep0,1.0,114072,PCA,2.4778568745826464,1.624906015203112,2.1688013364659935
202,Q0.046,378.49905322953924,rep0,1.0,114072,RandomProjection,1.6312657397072665,1.416337179337024,1.600501248553519
203,Q0.046,378.49905322953924,rep0,1.0,114072,nanoTxformer,2.1384789686775827,1.7372632114316915,2.148251439362656
204,Q0.100,815.5538081211866,rep0,0.001,114,VAE,2.9240984510743955,1.8868949132170822,2.5374742410302757
205,Q0.100,815.5538081211866,rep0,0.001,114,PCA,2.6935876939691252,1.763024398369211,2.388227940917025
206,Q0.100,815.5538081211866,rep0,0.001,114,RandomProjection,1.8056827124608148,1.5510618154790123,1.8295538695154987
207,Q0.100,815.5538081211866,rep0,0.001,114,nanoTxformer,2.4213150460271935,1.87369387277371,2.3807450052689516
