,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Clonal MI
77,Q0.005,12.009534869506753,rep0,0.005,981,RandomProjection,-0.025666596251360044
78,Q0.005,12.009534869506753,rep0,0.01,1963,VAE,0.03961338110489448
79,Q0.005,12.009534869506753,rep0,0.01,1963,PCA,0.007150822916142592
80,Q0.005,12.009534869506753,rep0,0.01,1963,RandomProjection,0.037984020566235406
81,Q0.005,12.009534869506753,rep0,0.01,1963,nanoTxformer,0.011678823767120912
82,Q0.005,12.009534869506753,rep0,0.022,4319,VAE,0.038833147428181676
83,Q0.005,12.009534869506753,rep0,0.022,4319,PCA,-0.02389363171436281
84,Q0.005,12.009534869506753,rep0,0.022,4319,RandomProjection,-0.00606192808548004
85,Q0.005,12.009534869506753,rep0,0.046,9031,VAE,0.022780223858653668
86,Q0.005,12.009534869506753,rep0,0.046,9031,PCA,0.03429166484736559
87,Q0.005,12.009534869506753,rep0,0.046,9031,RandomProjection,-0.028467684360473183
88,Q0.005,12.009534869506753,rep0,0.1,19633,VAE,-0.018189723936564567
89,Q0.005,12.009534869506753,rep0,0.1,19633,PCA,0.019856170993810866
90,Q0.005,12.009534869506753,rep0,0.1,19633,RandomProjection,0.014633292150855959
91,Q0.005,12.009534869506753,rep0,0.1,19633,nanoTxformer,0.03254838143083628
92,Q0.005,12.009534869506753,rep0,0.215,42211,VAE,0.012769565590269037
93,Q0.005,12.009534869506753,rep0,0.215,42211,PCA,0.014019826849741837
94,Q0.005,12.009534869506753,rep0,0.215,42211,RandomProjection,-0.022308312814215605
95,Q0.005,12.009534869506753,rep0,0.464,91098,VAE,0.06792255255851232
96,Q0.005,12.009534869506753,rep0,0.464,91098,PCA,0.04544627873158158
97,Q0.005,12.009534869506753,rep0,0.464,91098,RandomProjection,0.00735078591332359
98,Q0.005,12.009534869506753,rep0,1.0,196332,VAE,0.04807273412349041
99,Q0.005,12.009534869506753,rep0,1.0,196332,PCA,0.039985929417873343
100,Q0.005,12.009534869506753,rep0,1.0,196332,RandomProjection,-0.019989837467519988
101,Q0.005,12.009534869506753,rep0,1.0,196332,nanoTxformer,-0.0007726051003604102
102,Q0.010,25.88332009045902,rep0,0.001,196,VAE,0.054387377813131556
103,Q0.010,25.88332009045902,rep0,0.001,196,PCA,0.06099513412312764
104,Q0.010,25.88332009045902,rep0,0.001,196,RandomProjection,-0.0020354922395727235
105,Q0.010,25.88332009045902,rep0,0.001,196,nanoTxformer,0.016609224241058672
106,Q0.010,25.88332009045902,rep0,0.002,392,VAE,0.054153537049962355
